canonical_key,alias_name,source_id,notes
cousins_annie,Cousins Annie,,From BFPerry person_id=3070
cowan,Cowan,,From BFPerry person_id=3469
cox,Cox,,From BFPerry person_id=2341
coxs,Coxs,,From BFPerry person_id=2459
crawford,Crawford,,From BFPerry person_id=2364
crawfords,Crawfords,,From BFPerry person_id=2574
crayton,Crayton,,From BFPerry person_id=2500
craytons,Craytons,,From BFPerry person_id=2875
cripps,Cripps,,From BFPerry person_id=2525
crittenden,Crittenden,,From BFPerry person_id=1937
crittendens,Crittendens,,From BFPerry person_id=2118
croft,Croft,,From BFPerry person_id=1808
crofts,Crofts,,From BFPerry person_id=2595
cronston,Cronston,,From BFPerry person_id=3297
crook,Crook,,From BFPerry person_id=2494
crooks,Crooks,,From BFPerry person_id=2198
culpepper,Culpepper,,From BFPerry person_id=2552
cunningham,Cunningham,,From BFPerry person_id=1759
cunninghams,Cunninghams,,From BFPerry person_id=1600
cunninghamsso,Cunninghamsso,,From BFPerry person_id=4323
cuttino,Cuttino,,From BFPerry person_id=3199
d_l_fair,D. L. Fair,,From BFPerry person_id=3446
d_williams,D. Williams,,From BFPerry person_id=2995
dangol,Dangol,,From BFPerry person_id=2974
daniel,Daniel,,From BFPerry person_id=2297
daniel_elliott_huger,Daniel Elliott Huger,,From BFPerry person_id=2429
daniel_elliott_huger,Daniel Elliott] Huger,,From BFPerry person_id=4427
daniel_elliott_huger__barnwell_rhett__col,Daniel Elliott] Huger & Barnwell Rhett & Col,,From BFPerry person_id=4535
daniels,Daniels,,From BFPerry person_id=3428
dantzeller,Dantzeller,,From BFPerry person_id=2113
dantzellers,Dantzellers,,From BFPerry person_id=3243
dantzler,Dantzler,,From BFPerry person_id=2597
danville,Danville,,From BFPerry person_id=2191
darby,Darby,,From BFPerry person_id=2192
dargan,Dargan,,From BFPerry person_id=2133
david_j_mccords,David J. McCords,,From BFPerry person_id=3404
david_johnson,David Johnson,,From BFPerry person_id=2426
david_lowry,David Lowry,,From BFPerry person_id=3047
david_lowry,David Lowry],,From BFPerry person_id=5090
davis,Davis,,From BFPerry person_id=2295
dawkins,Dawkins,,From BFPerry person_id=1807
dawkins_bonham,Dawkins Bonham,,From BFPerry person_id=3089
dawkinsbonham,DawkinsBonham,,From BFPerry person_id=5133
dawson,Dawson,,From BFPerry person_id=2097
day,Day,,From BFPerry person_id=2017
dean,Dean,,From BFPerry person_id=2411
