person_id,full_name,rel_count,category_guess,candidate_canonical_ids,candidate_canonical_names,action,merge_target_id,rename_to,notes
905,Rosa,0,surname,1243,Rosa Izard,,,,
786,Sabbath,0,unmatched,,,,,,
563,Sabeau,0,unmatched,,,,,,
947,Said,0,unmatched,,,,,,
785,Sally,0,firstname,399;400;401,Sally Crook;Sally Taylor;Sally Thompson,,,,
758,Sam,1,surname,402;403;404;405,Sam Jones;Sam Mauldin;Sam McClanahan;Sam Townes,,,,
948,Sammy,0,unmatched,,,,,,
1110,Sanford,0,unmatched,,,,,,
801,Sarah,1,unmatched,,,,,,
1098,Savan-,0,unmatched,,,,,,
706,Schmidt,0,unmatched,,,,,,
954,Schroeder,0,unmatched,,,,,,
1190,Schuyler,0,unmatched,,,,,,
670,Scott,7,surname,755;951,William Scott;Dred Scott,,,,
1220,Secessionville,0,unmatched,,,,,,
1062,Seward,0,unmatched,,,,,,
656,Seyle,0,unmatched,,,,,,
795,Seymour,0,unmatched,,,,,,
796,Shall,0,unmatched,,,,,,
1168,Shaw,2,surname,1167,J. Shaw,,,,
1026,Sherman,5,unmatched,,,,,,
929,Shubrick,0,unmatched,,,,,,
1079,Simon,0,surname,412,Simon Turner,,,,
661,Simoniens,0,unmatched,,,,,,
889,Skinner,0,unmatched,,,,,,
740,Smith,0,surname,84;85;236;327;474;527;738;836,Charlotte Smith;Chesney Smith;James Smith Rhett;Lizzie R. Smith;Whiteford Smith;William Smith;James Smith;Oliver Smith,,,,
777,Solicitor,0,unmatched,,,,,,
610,Solomon,0,unmatched,,,,,,
1095,Specie,0,unmatched,,,,,,
790,Steedman,0,unmatched,,,,,,
877,Stevenson,7,unmatched,,,,,,
876,Stewart,5,unmatched,,,,,,
1229,ston,0,surname,1234,Ben All- ston,,,,
1090,Stoney,0,unmatched,,,,,,
1148,Storey,0,unmatched,,,,,,
820,Sue,27,surname,418;1248,Sue Hoke;Aunt Sue is,,,,
671,Sullivan,0,surname,80,Charles Sullivan,,,,
1105,Sulphur,0,surname,868;1106,White Sulphur;Sulphur Springs,,,,
